category,subcategory,style,color,name,asset_key,base_path,rarity,price_cr,obtain_method
bodies,male,,amber,Male Amber Body,male_amber,\AssetsStore\spritesheets\bodies\male\{animation}\amber.png,rare,0,gacha
bodies,male,,black,Male Black Body,male_black,\AssetsStore\spritesheets\bodies\male\{animation}\black.png,common,3,store
bodies,male,,blue,Male Blue Body,male_blue,\AssetsStore\spritesheets\bodies\male\{animation}\blue.png,rare,0,gacha
bodies,male,,bright_green,Male Bright_Green Body,male_bright_green,\AssetsStore\spritesheets\bodies\male\{animation}\bright_green.png,epic,0,gacha
bodies,male,,bronze,Male Bronze Body,male_bronze,\AssetsStore\spritesheets\bodies\male\{animation}\bronze.png,epic,0,gacha
bodies,male,,brown,Male Brown Body,male_brown,\AssetsStore\spritesheets\bodies\male\{animation}\brown.png,common,3,store
bodies,male,,dark_green,Male Dark_Green Body,male_dark_green,\AssetsStore\spritesheets\bodies\male\{animation}\dark_green.png,rare,0,gacha
bodies,male,,fur_black,Male Fur_Black Body,male_fur_black,\AssetsStore\spritesheets\bodies\male\{animation}\fur_black.png,common,3,store
bodies,male,,fur_brown,Male Fur_Brown Body,male_fur_brown,\AssetsStore\spritesheets\bodies\male\{animation}\fur_brown.png,common,3,store
bodies,male,,fur_copper,Male Fur_Copper Body,male_fur_copper,\AssetsStore\spritesheets\bodies\male\{animation}\fur_copper.png,epic,0,gacha
bodies,male,,fur_gold,Male Fur_Gold Body,male_fur_gold,\AssetsStore\spritesheets\bodies\male\{animation}\fur_gold.png,legendary,0,gacha
bodies,male,,fur_grey,Male Fur_Grey Body,male_fur_grey,\AssetsStore\spritesheets\bodies\male\{animation}\fur_grey.png,common,3,store
bodies,male,,fur_tan,Male Fur_Tan Body,male_fur_tan,\AssetsStore\spritesheets\bodies\male\{animation}\fur_tan.png,common,3,store
bodies,male,,fur_white,Male Fur_White Body,male_fur_white,\AssetsStore\spritesheets\bodies\male\{animation}\fur_white.png,common,3,store
bodies,male,,green,Male Green Body,male_green,\AssetsStore\spritesheets\bodies\male\{animation}\green.png,rare,0,gacha
bodies,male,,lavender,Male Lavender Body,male_lavender,\AssetsStore\spritesheets\bodies\male\{animation}\lavender.png,epic,0,gacha
bodies,male,,light,Male Light Body,male_light,\AssetsStore\spritesheets\bodies\male\{animation}\light.png,common,3,store
bodies,male,,olive,Male Olive Body,male_olive,\AssetsStore\spritesheets\bodies\male\{animation}\olive.png,rare,0,gacha
bodies,male,,pale_green,Male Pale_Green Body,male_pale_green,\AssetsStore\spritesheets\bodies\male\{animation}\pale_green.png,rare,0,gacha
bodies,male,,taupe,Male Taupe Body,male_taupe,\AssetsStore\spritesheets\bodies\male\{animation}\taupe.png,rare,0,gacha
bodies,male,,zombie,Male Zombie Body,male_zombie,\AssetsStore\spritesheets\bodies\male\{animation}\zombie.png,legendary,0,gacha
bodies,male,,zombie_green,Male Zombie_Green Body,male_zombie_green,\AssetsStore\spritesheets\bodies\male\{animation}\zombie_green.png,legendary,0,gacha
clothes,longsleeve,,black,Longsleeve Black,male_longsleeve_black,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\black.png,common,3,store
clothes,longsleeve,,blue,Longsleeve Blue,male_longsleeve_blue,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\blue.png,rare,0,gacha
clothes,longsleeve,,bluegray,Longsleeve Bluegray,male_longsleeve_bluegray,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\bluegray.png,rare,0,gacha
clothes,longsleeve,,brown,Longsleeve Brown,male_longsleeve_brown,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\brown.png,common,3,store
clothes,longsleeve,,charcoal,Longsleeve Charcoal,male_longsleeve_charcoal,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\charcoal.png,common,3,store
clothes,longsleeve,,forest,Longsleeve Forest,male_longsleeve_forest,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\forest.png,common,3,store
clothes,longsleeve,,gray,Longsleeve Gray,male_longsleeve_gray,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\gray.png,common,3,store
clothes,longsleeve,,green,Longsleeve Green,male_longsleeve_green,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\green.png,rare,0,gacha
clothes,longsleeve,,lavender,Longsleeve Lavender,male_longsleeve_lavender,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\lavender.png,epic,0,gacha
clothes,longsleeve,,leather,Longsleeve Leather,male_longsleeve_leather,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\leather.png,common,3,store
clothes,longsleeve,,maroon,Longsleeve Maroon,male_longsleeve_maroon,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\maroon.png,common,3,store
clothes,longsleeve,,navy,Longsleeve Navy,male_longsleeve_navy,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\navy.png,common,3,store
clothes,longsleeve,,orange,Longsleeve Orange,male_longsleeve_orange,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\orange.png,common,3,store
clothes,longsleeve,,pink,Longsleeve Pink,male_longsleeve_pink,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\pink.png,rare,0,gacha
clothes,longsleeve,,purple,Longsleeve Purple,male_longsleeve_purple,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\purple.png,rare,0,gacha
clothes,longsleeve,,red,Longsleeve Red,male_longsleeve_red,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\red.png,common,3,store
clothes,longsleeve,,rose,Longsleeve Rose,male_longsleeve_rose,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\rose.png,common,3,store
clothes,longsleeve,,sky,Longsleeve Sky,male_longsleeve_sky,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\sky.png,common,3,store
clothes,longsleeve,,slate,Longsleeve Slate,male_longsleeve_slate,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\slate.png,common,3,store
clothes,longsleeve,,tan,Longsleeve Tan,male_longsleeve_tan,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\tan.png,common,3,store
clothes,longsleeve,,teal,Longsleeve Teal,male_longsleeve_teal,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\teal.png,common,3,store
clothes,longsleeve,,walnut,Longsleeve Walnut,male_longsleeve_walnut,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\walnut.png,common,3,store
clothes,longsleeve,,white,Longsleeve White,male_longsleeve_white,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\white.png,common,3,store
clothes,longsleeve,,yellow,Longsleeve Yellow,male_longsleeve_yellow,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\yellow.png,common,3,store
clothes,shorts,,black,Shorts Black,male_shorts_black,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\black.png,common,3,store
clothes,shorts,,blue,Shorts Blue,male_shorts_blue,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\blue.png,rare,0,gacha
clothes,shorts,,bluegray,Shorts Bluegray,male_shorts_bluegray,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\bluegray.png,rare,0,gacha
clothes,shorts,,brown,Shorts Brown,male_shorts_brown,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\brown.png,common,3,store
clothes,shorts,,charcoal,Shorts Charcoal,male_shorts_charcoal,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\charcoal.png,common,3,store
clothes,shorts,,forest,Shorts Forest,male_shorts_forest,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\forest.png,common,3,store
clothes,shorts,,gray,Shorts Gray,male_shorts_gray,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\gray.png,common,3,store
clothes,shorts,,green,Shorts Green,male_shorts_green,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\green.png,rare,0,gacha
clothes,shorts,,lavender,Shorts Lavender,male_shorts_lavender,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\lavender.png,epic,0,gacha
clothes,shorts,,leather,Shorts Leather,male_shorts_leather,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\leather.png,common,3,store
