category,subcategory,style,color,name,asset_key,base_path,rarity,price_cr,obtain_method,name_ko
clothes,shorts,,black,남성 블랙 쇼츠,male_shorts_black,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\black.png,common,3,store,남성 쇼츠 블랙
clothes,shorts,,brown,남성 브라운 쇼츠,male_shorts_brown,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\brown.png,common,3,store,남성 쇼츠 브라운
clothes,shortsleeves,,black,남성 블랙 쇼트슬리브,male_shortsleeves_black,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\black.png,common,3,store,남성 쇼츠리브스 블랙
clothes,shortsleeves,,brown,남성 브라운 쇼트슬리브,male_shortsleeves_brown,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\brown.png,common,3,store,남성 쇼츠리브스 브라운
clothes,longsleeve,,black,남성 롱슬리브 블랙,male_longsleeve_black,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\black.png,common,0,gacha,남성 롱슬리브 블랙
clothes,longsleeve,,blue,남성 롱슬리브 블루,male_longsleeve_blue,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\blue.png,rare,0,gacha,남성 롱슬리브 블루
clothes,longsleeve,,bluegray,남성 롱슬리브 블루그레이,male_longsleeve_bluegray,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\bluegray.png,common,0,gacha,남성 롱슬리브 블루그레이
clothes,longsleeve,,brown,남성 롱슬리브 브라운,male_longsleeve_brown,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\brown.png,common,0,gacha,남성 롱슬리브 브라운
clothes,longsleeve,,charcoal,남성 롱슬리브 차콜,male_longsleeve_charcoal,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\charcoal.png,common,0,gacha,남성 롱슬리브 차콜
clothes,longsleeve,,forest,남성 롱슬리브 포레스트,male_longsleeve_forest,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\forest.png,rare,0,gacha,남성 롱슬리브 포레스트
clothes,longsleeve,,gray,남성 롱슬리브 그레이,male_longsleeve_gray,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\gray.png,common,0,gacha,남성 롱슬리브 그레이
clothes,longsleeve,,green,남성 롱슬리브 그린,male_longsleeve_green,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\green.png,rare,0,gacha,남성 롱슬리브 그린
clothes,longsleeve,,lavender,남성 롱슬리브 라벤더,male_longsleeve_lavender,\AssetsStore\spritesheets\clothes\male\longsleeve\{animation}\lavender.png,epic,0,gacha,남성 롱슬리브 라벤더
