category,subcategory,style,color,name,asset_key,base_path,rarity,price_cr,obtain_method,name_ko
hair,pixie,,dark_brown,픽시 다크 브라운 헤어,pixie_dark_brown,\AssetsStore\spritesheets\hair\pixie\dark_brown.png,common,3,store,픽시 다크 브라운 헤어
hair,pixie,,dark_gray,픽시 다크 그레이 헤어,pixie_dark_gray,\AssetsStore\spritesheets\hair\pixie\dark_gray.png,common,3,store,픽시 다크 그레이 헤어
hair,pixie,,light_brown,픽시 라이트 브라운 헤어,pixie_light_brown,\AssetsStore\spritesheets\hair\pixie\light_brown.png,common,3,store,픽시 라이트 브라운 헤어
hair,messy1,,dark_brown,메시1 다크 브라운 헤어,messy1_dark_brown,\AssetsStore\spritesheets\hair\messy1\dark_brown.png,common,3,store,메시1 다크 브라운 헤어
hair,messy1,,dark_gray,메시1 다크 그레이 헤어,messy1_dark_gray,\AssetsStore\spritesheets\hair\messy1\dark_gray.png,common,3,store,메시1 다크 그레이 헤어
hair,messy1,,light_brown,메시1 라이트 브라운 헤어,messy1_light_brown,\AssetsStore\spritesheets\hair\messy1\light_brown.png,common,3,store,메시1 라이트 브라운 헤어
hair,long,,dark_brown,롱 다크 브라운 헤어,long_dark_brown,\AssetsStore\spritesheets\hair\long\dark_brown.png,common,3,store,롱 다크 브라운 헤어
hair,long,,dark_gray,롱 다크 그레이 헤어,long_dark_gray,\AssetsStore\spritesheets\hair\long\dark_gray.png,common,3,store,롱 다크 그레이 헤어
hair,long,,light_brown,롱 라이트 브라운 헤어,long_light_brown,\AssetsStore\spritesheets\hair\long\light_brown.png,common,3,store,롱 라이트 브라운 헤어
hair,dreadlocks_long,,dark_brown,드레드록 롱 다크 브라운 헤어,dreadlocks_long_dark_brown,\AssetsStore\spritesheets\hair\dreadlocks_long\dark_brown.png,common,3,store,드레드록 롱 다크 브라운 헤어
hair,dreadlocks_long,,dark_gray,드레드록 롱 다크 그레이 헤어,dreadlocks_long_dark_gray,\AssetsStore\spritesheets\hair\dreadlocks_long\dark_gray.png,common,3,store,드레드록 롱 다크 그레이 헤어
hair,dreadlocks_long,,light_brown,드레드록 롱 라이트 브라운 헤어,dreadlocks_long_light_brown,\AssetsStore\spritesheets\hair\dreadlocks_long\light_brown.png,common,3,store,드레드록 롱 라이트 브라운 헤어
hair,buzzcut,,dark_brown,버즈컷 다크 브라운 헤어,buzzcut_dark_brown,\AssetsStore\spritesheets\hair\buzzcut\dark_brown.png,common,3,store,버즈컷 다크 브라운 헤어
hair,buzzcut,,dark_gray,버즈컷 다크 그레이 헤어,buzzcut_dark_gray,\AssetsStore\spritesheets\hair\buzzcut\dark_gray.png,common,3,store,버즈컷 다크 그레이 헤어
hair,buzzcut,,light_brown,버즈컷 라이트 브라운 헤어,buzzcut_light_brown,\AssetsStore\spritesheets\hair\buzzcut\light_brown.png,common,3,store,버즈컷 라이트 브라운 헤어
hair,afro,,dark_brown,아프로 다크 브라운 헤어,afro_dark_brown,\AssetsStore\spritesheets\hair\afro\dark_brown.png,common,3,store,아프로 다크 브라운 헤어
hair,afro,,dark_gray,아프로 다크 그레이 헤어,afro_dark_gray,\AssetsStore\spritesheets\hair\afro\dark_gray.png,common,3,store,아프로 다크 그레이 헤어
hair,afro,,light_brown,아프로 라이트 브라운 헤어,afro_light_brown,\AssetsStore\spritesheets\hair\afro\light_brown.png,common,3,store,아프로 라이트 브라운 헤어
hair,pixie,,ash,픽시 애쉬 헤어,pixie_ash,\AssetsStore\spritesheets\hair\pixie\ash.png,common,0,gacha,픽시 애쉬 헤어
hair,pixie,,black,픽시 블랙 헤어,pixie_black,\AssetsStore\spritesheets\hair\pixie\black.png,common,0,gacha,픽시 블랙 헤어
hair,pixie,,blonde,픽시 블론드 헤어,pixie_blonde,\AssetsStore\spritesheets\hair\pixie\blonde.png,common,0,gacha,픽시 블론드 헤어
hair,pixie,,blue,픽시 블루 헤어,pixie_blue,\AssetsStore\spritesheets\hair\pixie\blue.png,rare,0,gacha,픽시 블루 헤어
hair,pixie,,carrot,픽시 캐롯 헤어,pixie_carrot,\AssetsStore\spritesheets\hair\pixie\carrot.png,common,0,gacha,픽시 캐롯 헤어
hair,pixie,,chestnut,픽시 체스트넛 헤어,pixie_chestnut,\AssetsStore\spritesheets\hair\pixie\chestnut.png,common,0,gacha,픽시 체스트넛 헤어
hair,pixie,,ginger,픽시 진저 헤어,pixie_ginger,\AssetsStore\spritesheets\hair\pixie\ginger.png,common,0,gacha,픽시 진저 헤어
hair,pixie,,gold,픽시 골드 헤어,pixie_gold,\AssetsStore\spritesheets\hair\pixie\gold.png,epic,0,gacha,픽시 골드 헤어
hair,pixie,,gray,픽시 그레이 헤어,pixie_gray,\AssetsStore\spritesheets\hair\pixie\gray.png,common,0,gacha,픽시 그레이 헤어
hair,pixie,,green,픽시 그린 헤어,pixie_green,\AssetsStore\spritesheets\hair\pixie\green.png,rare,0,gacha,픽시 그린 헤어
hair,pixie,,navy,픽시 네이비 헤어,pixie_navy,\AssetsStore\spritesheets\hair\pixie\navy.png,rare,0,gacha,픽시 네이비 헤어
hair,pixie,,orange,픽시 오렌지 헤어,pixie_orange,\AssetsStore\spritesheets\hair\pixie\orange.png,common,0,gacha,픽시 오렌지 헤어
hair,pixie,,pink,픽시 핑크 헤어,pixie_pink,\AssetsStore\spritesheets\hair\pixie\pink.png,rare,0,gacha,픽시 핑크 헤어
