category,subcategory,style,color,name,asset_key,base_path,rarity,price_cr,obtain_method,name_ko
head,faces,shock,light,쇼크 라이트 표정,faces_shock_light,\AssetsStore\spritesheets\head\faces\shock\light.png,common,3,store,쇼크 표정 라이트
head,faces,shame,light,부끄러움 라이트 표정,faces_shame_light,\AssetsStore\spritesheets\head\faces\shame\light.png,common,3,store,부끄러운 표정 라이트
head,faces,sad,light,슬픔 라이트 표정,faces_sad_light,\AssetsStore\spritesheets\head\faces\sad\light.png,common,3,store,슬픈 표정 라이트
head,faces,neutral,light,무표정 라이트 표정,faces_neutral_light,\AssetsStore\spritesheets\head\faces\neutral\light.png,common,3,store,무표정 라이트
head,faces,look_r,light,오른쪽 시선 라이트 표정,faces_look_r_light,\AssetsStore\spritesheets\head\faces\look_r\light.png,common,3,store,오른쪽 시선 라이트
head,faces,look_l,light,왼쪽 시선 라이트 표정,faces_look_l_light,\AssetsStore\spritesheets\head\faces\look_l\light.png,common,3,store,왼쪽 시선 라이트
head,faces,happy,light,행복 라이트 표정,faces_happy_light,\AssetsStore\spritesheets\head\faces\happy\light.png,common,3,store,행복한 표정 라이트
head,faces,eyeroll,light,눈치채기 라이트 표정,faces_eyeroll_light,\AssetsStore\spritesheets\head\faces\eyeroll\light.png,common,3,store,눈 굴림 표정 라이트
head,faces,closing,light,눈 감음 라이트 표정,faces_closing_light,\AssetsStore\spritesheets\head\faces\closing\light.png,common,3,store,눈 감는 표정 라이트
head,faces,closed,light,완전 눈 감음 라이트 표정,faces_closed_light,\AssetsStore\spritesheets\head\faces\closed\light.png,common,3,store,완전 눈 감은 표정 라이트
head,faces,blush,light,홍조 라이트 표정,faces_blush_light,\AssetsStore\spritesheets\head\faces\blush\light.png,common,3,store,홍조 표정 라이트
head,faces,anger,light,분노 라이트 표정,faces_anger_light,\AssetsStore\spritesheets\head\faces\anger\light.png,common,3,store,분노 표정 라이트
head,eyebrows,thin,dark_brown,얇은 눈썹 다크 브라운,eyebrows_thin_dark_brown,\AssetsStore\spritesheets\head\eyebrows\thin\dark_brown.png,common,3,store,가는 눈썹 다크 브라운
head,eyebrows,thin,dark_gray,얇은 눈썹 다크 그레이,eyebrows_thin_dark_gray,\AssetsStore\spritesheets\head\eyebrows\thin\dark_gray.png,common,3,store,가는 눈썹 다크 그레이
head,eyebrows,thin,light_brown,얇은 눈썹 라이트 브라운,eyebrows_thin_light_brown,\AssetsStore\spritesheets\head\eyebrows\thin\light_brown.png,common,3,store,가는 눈썹 라이트 브라운
head,eyebrows,thick,dark_brown,두꺼운 눈썹 다크 브라운,eyebrows_thick_dark_brown,\AssetsStore\spritesheets\head\eyebrows\thick\dark_brown.png,common,3,store,두꺼운 눈썹 다크 브라운
head,eyebrows,thick,dark_gray,두꺼운 눈썹 다크 그레이,eyebrows_thick_dark_gray,\AssetsStore\spritesheets\head\eyebrows\thick\dark_gray.png,common,3,store,두꺼운 눈썹 다크 그레이
head,eyebrows,thick,light_brown,두꺼운 눈썹 라이트 브라운,eyebrows_thick_light_brown,\AssetsStore\spritesheets\head\eyebrows\thick\light_brown.png,common,3,store,두꺼운 눈썹 라이트 브라운
head,ears,medium,light,중간 크기 귀 라이트,ears_medium_light,\AssetsStore\spritesheets\head\ears\medium\light.png,common,3,store,중간 크기 귀 라이트
head,faces,shock,amber,쇼크 페이스 앰버,faces_shock_amber,\AssetsStore\spritesheets\head\faces\shock\amber.png,rare,0,gacha,쇼크 페이스 앰버
head,faces,shock,black,쇼크 페이스 블랙,faces_shock_black,\AssetsStore\spritesheets\head\faces\shock\black.png,common,0,gacha,쇼크 페이스 블랙
head,faces,shock,blue,쇼크 페이스 블루,faces_shock_blue,\AssetsStore\spritesheets\head\faces\shock\blue.png,rare,0,gacha,쇼크 페이스 블루
head,faces,shock,bright_green,쇼크 페이스 브라이트 그린,faces_shock_bright_green,\AssetsStore\spritesheets\head\faces\shock\bright_green.png,epic,0,gacha,쇼크 페이스 브라이트 그린
head,faces,shock,bronze,쇼크 페이스 브론즈,faces_shock_bronze,\AssetsStore\spritesheets\head\faces\shock\bronze.png,epic,0,gacha,쇼크 페이스 브론즈
head,faces,shock,brown,쇼크 페이스 브라운,faces_shock_brown,\AssetsStore\spritesheets\head\faces\shock\brown.png,common,0,gacha,쇼크 페이스 브라운
head,faces,shock,dark_green,쇼크 페이스 다크 그린,faces_shock_dark_green,\AssetsStore\spritesheets\head\faces\shock\dark_green.png,common,0,gacha,쇼크 페이스 다크 그린
head,faces,shock,fur_black,쇼크 페이스 퍼 블랙,faces_shock_fur_black,\AssetsStore\spritesheets\head\faces\shock\fur_black.png,common,0,gacha,쇼크 페이스 퍼 블랙
head,faces,shock,fur_brown,쇼크 페이스 퍼 브라운,faces_shock_fur_brown,\AssetsStore\spritesheets\head\faces\shock\fur_brown.png,common,0,gacha,쇼크 페이스 퍼 브라운
head,faces,shock,fur_copper,쇼크 페이스 퍼 코퍼,faces_shock_fur_copper,\AssetsStore\spritesheets\head\faces\shock\fur_copper.png,epic,0,gacha,쇼크 페이스 퍼 코퍼
head,faces,shock,fur_gold,쇼크 페이스 퍼 골드,faces_shock_fur_gold,\AssetsStore\spritesheets\head\faces\shock\fur_gold.png,legendary,0,gacha,쇼크 페이스 퍼 골드
